"id_log","id_user","lng","lat","accuracy","log_time"
"3172923","65","-5.9633900000000004","54.6143869","10","2016-02-25 10:57:20"
"3172924","65","-5.9633900000000004","54.6143869","10","2016-02-25 10:57:26"
"3172925","65","-5.9633900999999998","54.6143869","10","2016-02-25 10:57:30"
"3172926","65","-5.9633900999999998","54.6143869","10","2016-02-25 10:57:34"
"3172927","65","-5.9633900999999998","54.614386799999998","10","2016-02-25 10:57:38"
"3172928","65","-5.9633900999999998","54.614386799999998","11","2016-02-25 10:57:42"
"3172929","65","-5.9633900999999998","54.614386799999998","10","2016-02-25 10:57:46"
"3172930","65","-5.9633900999999998","54.614386799999998","10","2016-02-25 10:57:50"
"3172931","65","-5.9633900999999998","54.614386799999998","10","2016-02-25 10:57:55"
"3172932","65","-5.9633902000000001","54.614386799999998","10","2016-02-25 10:57:59"
"3172933","65","-5.9633902000000001","54.614386799999998","10","2016-02-25 10:58:03"
"3172934","65","-5.9633903000000004","54.614386799999998","11","2016-02-25 10:58:07"
"3172935","65","-5.9633903999999998","54.614386699999997","10","2016-02-25 10:58:13"
"3172936","65","-5.9633903999999998","54.614386699999997","10","2016-02-25 10:58:17"
"3172937","65","-5.9633903999999998","54.614386699999997","10","2016-02-25 10:58:21"
"3172938","65","-5.9633903999999998","54.614386699999997","9","2016-02-25 10:58:25"
"3172939","65","-5.9633903999999998","54.614386699999997","9","2016-02-25 10:58:29"
"3172940","65","-5.9633903999999998","54.614386699999997","10","2016-02-25 10:58:34"
"3172941","65","-5.9633811999999997","54.614389199999998","10","2016-02-25 10:58:38"
"3172942","65","-5.9633833000000003","54.614381100000003","10","2016-02-25 10:58:42"
"3172943","65","-5.9634140000000002","54.6144283","10","2016-02-25 10:58:46"
"3172944","65","-5.9634352000000002","54.614438399999997","10","2016-02-25 10:58:52"
"3172945","65","-5.9634418","54.614452100000001","10","2016-02-25 10:58:56"
"3172946","65","-5.9634419000000003","54.614454199999997","10","2016-02-25 10:59:00"
"3172947","65","-5.9634419999999997","54.614454299999998","10","2016-02-25 10:59:04"
"3172948","65","-5.9634419999999997","54.614454299999998","13","2016-02-25 10:59:08"
"3172949","65","-5.9634419999999997","54.6144544","14","2016-02-25 10:59:12"
"3172950","65","-5.9634421","54.614454500000001","13","2016-02-25 10:59:16"
"3172951","65","-5.9634403000000002","54.6144526","10","2016-02-25 10:59:20"
"3172952","65","-5.9634441000000002","54.614456099999998","10","2016-02-25 10:59:24"
"3172953","65","-5.9634445999999999","54.614456500000003","10","2016-02-25 10:59:28"
"3172954","65","-5.9634454000000003","54.614458800000001","10","2016-02-25 10:59:33"
"3172955","65","-5.9634454999999997","54.614458599999999","10","2016-02-25 10:59:37"
"3172956","65","-5.9634457000000003","54.614459799999999","10","2016-02-25 10:59:41"
"3172957","65","-5.9634460999999996","54.614460000000001","10","2016-02-25 10:59:45"
"3172958","65","-5.9634461999999999","54.614460100000002","10","2016-02-25 10:59:49"
"3172959","65","-5.9634141999999999","54.614405699999999","3.9000000953674001","2016-02-25 10:59:54"
"3172960","65","-5.9634163999999998","54.614393700000001","3.9000000953674001","2016-02-25 10:59:58"
"3172961","65","-5.9634254999999996","54.614380699999998","3.9000000953674001","2016-02-25 11:00:02"
"3172962","65","-5.9634444000000002","54.614380099999998","3.9000000953674001","2016-02-25 11:00:06"
"3172963","65","-5.9634480999999999","54.614371900000002","3.9000000953674001","2016-02-25 11:00:11"
"3172964","65","-5.9634590999999997","54.614379","3.9000000953674001","2016-02-25 11:00:15"
"3172965","65","-5.9634369999999999","54.614396200000002","3.9000000953674001","2016-02-25 11:00:19"
"3172966","65","-5.9634296999999998","54.614423000000002","3.9000000953674001","2016-02-25 11:00:23"
"3172967","65","-5.9634169999999997","54.614432999999998","3.9000000953674001","2016-02-25 11:00:27"
"3172968","65","-5.9634111000000001","54.614445600000003","3.9000000953674001","2016-02-25 11:00:31"
"3172969","65","-5.9634115000000003","54.614447300000002","3.9000000953674001","2016-02-25 11:00:35"
"3172970","65","-5.9634115999999997","54.614447400000003","3.9000000953674001","2016-02-25 11:00:40"
"3172971","65","-5.9634479999999996","54.614457999999999","3.9000000953674001","2016-02-25 11:00:44"
"3172972","65","-5.9634745999999996","54.614453500000003","3.9000000953674001","2016-02-25 11:00:48"
"3172973","65","-5.9634887000000001","54.614478200000001","26.319000244141002","2016-02-25 11:00:52"
"3172974","65","-5.9634913000000003","54.614476000000003","25.433000564575","2016-02-25 11:00:56"
"3172975","65","-5.9636449999999996","54.614440299999998","3.9000000953674001","2016-02-25 11:01:00"
"3172976","65","-5.9637197999999998","54.6144295","3.9000000953674001","2016-02-25 11:01:04"
"3172977","65","-5.9637824000000004","54.614408699999998","3.9000000953674001","2016-02-25 11:01:08"
"3172978","65","-5.9638382999999999","54.6144064","3.9000000953674001","2016-02-25 11:01:14"
"3172979","65","-5.9638551","54.614401899999997","3.9000000953674001","2016-02-25 11:01:18"
"3172980","65","-5.9638498999999996","54.614404800000003","3.9000000953674001","2016-02-25 11:01:22"
"3172981","65","-5.9638495000000002","54.614412799999997","3.9000000953674001","2016-02-25 11:01:26"
"3172982","65","-5.9638644000000003","54.614392799999997","3.9000000953674001","2016-02-25 11:01:30"
"3172983","65","-5.9638887","54.614379700000001","3.9000000953674001","2016-02-25 11:01:34"
"3172984","65","-5.9639693999999999","54.614361899999999","3.9000000953674001","2016-02-25 11:01:38"
"3172985","65","-5.9640116000000001","54.614331","3.9000000953674001","2016-02-25 11:01:42"
"3172986","65","-5.9640442","54.6143255","3.9000000953674001","2016-02-25 11:01:46"
"3172987","65","-5.9641304999999996","54.614303499999998","3.9000000953674001","2016-02-25 11:01:50"
"3172988","65","-5.9641633000000001","54.614255700000001","3.9000000953674001","2016-02-25 11:01:54"
"3172989","65","-5.9641539999999997","54.614232100000002","3.9000000953674001","2016-02-25 11:01:58"
"3172990","65","-5.9641267999999998","54.614213800000002","3.9000000953674001","2016-02-25 11:02:02"
"3172991","65","-5.9641171000000002","54.614205599999998","3.9000000953674001","2016-02-25 11:02:06"
"3172992","65","-5.9640817999999998","54.614182300000003","3.9000000953674001","2016-02-25 11:02:10"
"3172993","65","-5.9640554999999997","54.614159600000001","3.9000000953674001","2016-02-25 11:02:14"
"3172994","65","-5.9640336999999999","54.614142100000002","3.9000000953674001","2016-02-25 11:02:19"
"3172995","65","-5.9639921999999999","54.614130199999998","3.9000000953674001","2016-02-25 11:02:23"
"3172996","65","-5.9639791000000004","54.614125600000001","3.9000000953674001","2016-02-25 11:02:28"
"3172997","65","-5.9639595999999999","54.6141255","3.9000000953674001","2016-02-25 11:02:32"
"3172998","65","-5.9639493000000003","54.614121099999998","3.9000000953674001","2016-02-25 11:02:36"
"3172999","65","-5.9639426999999996","54.614122199999997","3.9000000953674001","2016-02-25 11:02:41"
"3173000","65","-5.9639417000000003","54.614116000000003","3.9000000953674001","2016-02-25 11:02:45"
"3173001","65","-5.9639416000000001","54.614109399999997","3.9000000953674001","2016-02-25 11:02:49"
"3173002","65","-5.9639426999999996","54.614103499999999","3.9000000953674001","2016-02-25 11:02:53"
"3173003","65","-5.9639470000000001","54.614103299999996","3.9000000953674001","2016-02-25 11:02:57"
"3173004","65","-5.9639424999999999","54.614100899999997","3.9000000953674001","2016-02-25 11:03:01"
"3173005","65","-5.9638941000000001","54.6141012","3.9000000953674001","2016-02-25 11:03:05"
"3173006","65","-5.9638698999999997","54.614090599999997","3.9000000953674001","2016-02-25 11:03:09"
"3173007","65","-5.9638458999999999","54.6140744","3.9000000953674001","2016-02-25 11:03:13"
"3173008","65","-5.9637963000000003","54.614052600000001","3.9000000953674001","2016-02-25 11:03:17"
"3173009","65","-5.9637067000000004","54.614030800000002","3.9000000953674001","2016-02-25 11:03:21"
"3173010","65","-5.9636471000000002","54.6139996","3.9000000953674001","2016-02-25 11:03:25"
"3173011","65","-5.9636038999999998","54.6139948","3.9000000953674001","2016-02-25 11:03:29"
"3173012","65","-5.9635920999999996","54.613973199999997","3.9000000953674001","2016-02-25 11:03:33"
"3173013","65","-5.9635565000000001","54.613932400000003","3.9000000953674001","2016-02-25 11:03:37"
"3173014","65","-5.9635455999999998","54.613911600000002","3.9000000953674001","2016-02-25 11:03:41"
"3173015","65","-5.9635499999999997","54.613886800000003","3.9000000953674001","2016-02-25 11:03:45"
"3173016","65","-5.9635562000000002","54.6138507","3.9000000953674001","2016-02-25 11:03:49"
"3173017","65","-5.9635626000000004","54.6138312","3.9000000953674001","2016-02-25 11:03:53"
"3173018","65","-5.9635677999999999","54.613787199999997","3.9000000953674001","2016-02-25 11:03:57"
"3173019","65","-5.9635851000000004","54.613759799999997","3.9000000953674001","2016-02-25 11:04:01"
"3173020","65","-5.9635978999999999","54.613745299999998","3.9000000953674001","2016-02-25 11:04:05"
"3173021","65","-5.9636243999999996","54.613725799999997","3.9000000953674001","2016-02-25 11:04:09"
"3173022","65","-5.9636393999999999","54.613705400000001","3.9000000953674001","2016-02-25 11:04:13"
"3173023","65","-5.9636535999999998","54.6136719","3.9000000953674001","2016-02-25 11:04:17"
"3173024","65","-5.9636614999999997","54.613660699999997","3.9000000953674001","2016-02-25 11:04:21"
"3173025","65","-5.9636978999999997","54.613626199999999","3.9000000953674001","2016-02-25 11:04:26"
"3173026","65","-5.9637292999999998","54.613606599999997","3.9000000953674001","2016-02-25 11:04:30"
"3173027","65","-5.9637609999999999","54.613601000000003","3.9000000953674001","2016-02-25 11:04:34"
"3173028","65","-5.9638366999999999","54.613590799999997","4","2016-02-25 11:04:38"
"3173029","65","-5.9638812000000003","54.613576399999999","4","2016-02-25 11:04:42"
"3173030","65","-5.9639493000000003","54.6135679","4","2016-02-25 11:04:46"
