"id_log","id_user","lng","lat","accuracy","log_time"
"3993655","65","-5.9650828999999996","54.620244499999998","3.9000000953674001","2016-03-08 11:47:43"
"3993656","65","-5.9650315999999997","54.620275800000002","3.9000000953674001","2016-03-08 11:47:46"
"3993657","65","-5.9649960999999996","54.620278999999996","3.9000000953674001","2016-03-08 11:47:50"
"3993658","65","-5.9648838","54.620247800000001","3.9000000953674001","2016-03-08 11:47:54"
"3993659","65","-5.9648390999999998","54.620226899999999","4","2016-03-08 11:47:58"
"3993660","65","-5.9647819000000002","54.620213800000002","3.9000000953674001","2016-03-08 11:48:02"
"3993661","65","-5.9647094000000003","54.620178600000003","3.9000000953674001","2016-03-08 11:48:06"
"3993662","65","-5.9646343000000002","54.620154900000003","4","2016-03-08 11:48:10"
"3993663","65","-5.9645595","54.6201419","4","2016-03-08 11:48:14"
"3993664","65","-5.9645210000000004","54.620125899999998","4","2016-03-08 11:48:18"
"3993665","65","-5.9644488000000004","54.620120800000002","3.9000000953674001","2016-03-08 11:48:22"
"3993666","65","-5.9643664000000003","54.620100999999998","3.9000000953674001","2016-03-08 11:48:26"
"3993667","65","-5.9643284000000003","54.620085600000003","4","2016-03-08 11:48:30"
"3993668","65","-5.9642891000000002","54.620079400000002","4","2016-03-08 11:48:34"
"3993669","65","-5.9642226999999997","54.620051099999998","4","2016-03-08 11:48:38"
"3993670","65","-5.9641827000000003","54.620028300000001","4","2016-03-08 11:48:42"
"3993671","65","-5.9641247000000002","54.620017900000001","4","2016-03-08 11:48:46"
"3993672","65","-5.9640806","54.620010299999997","4","2016-03-08 11:48:50"
"3993673","65","-5.9640319000000002","54.620017799999999","4","2016-03-08 11:48:54"
"3993674","65","-5.9639933999999997","54.619983099999999","5","2016-03-08 11:48:58"
"3993675","65","-5.9639492000000001","54.619985300000003","5","2016-03-08 11:49:02"
"3993676","65","-5.9639135000000003","54.619991300000002","4","2016-03-08 11:49:08"
"3993677","65","-5.9638907000000003","54.619986300000001","4","2016-03-08 11:49:12"
"3993678","65","-5.9638904999999998","54.619988300000003","3.9000000953674001","2016-03-08 11:49:16"
"3993679","65","-5.9638567","54.619990600000001","4","2016-03-08 11:49:20"
"3993680","65","-5.9638602000000001","54.619985499999999","3.9000000953674001","2016-03-08 11:49:24"
"3993681","65","-5.9638608","54.619985399999997","3.9000000953674001","2016-03-08 11:49:28"
"3993682","65","-5.9638608","54.619985300000003","3.9000000953674001","2016-03-08 11:49:32"
"3993683","65","-5.9638625999999997","54.619983300000001","3.9000000953674001","2016-03-08 11:49:36"
"3993684","65","-5.9638681","54.619980300000002","3.9000000953674001","2016-03-08 11:49:40"
"3993685","65","-5.9638654999999998","54.619969300000001","3.9000000953674001","2016-03-08 11:49:44"
"3993686","65","-5.9638495000000002","54.619945999999999","3.9000000953674001","2016-03-08 11:49:48"
"3993687","65","-5.9638868","54.619949099999999","3.9000000953674001","2016-03-08 11:49:52"
"3993688","65","-5.9638901999999998","54.619954","3.9000000953674001","2016-03-08 11:49:56"
"3993689","65","-5.9638796000000003","54.619941699999998","3.9000000953674001","2016-03-08 11:50:00"
